color,colorhex,colorcount
customhex42-cc6666,#cc6666,1
customhex43-696969,#696969,1
customhex44-c7dfed,#c7dfed,1
customhex45-4b9e51,#4b9e51,1
customhex46-1337bb,#1337bb,1
customhex47-ccccff,#ccccff,1
customhex48-1d7b8c,#1d7b8c,1
customhex49-50c875,#50c875,1
customhex50-292f34,#292f34,1
customhex51-e53935,#e53935,1
customhex52-b00b1e,#b00b1e,1
customhex53-ff7b07,#ff7b07,1
customhex54-0000cd,#0000cd,1
customhex55-007eff,#007eff,1
customhex56-a5df00,#a5df00,1
customhex57-2ab73a,#2ab73a,1
customhex58-0670b1,#0670b1,1
customhex59-6699cc,#6699cc,1
customhex60-50dd12,#50dd12,1
customhex61-2b303b,#2b303b,1
customhex62-000666,#000666,1
customhex63-006699,#006699,1
customhex64-071740,#071740,1
customhex65-27fdf5,#27fdf5,1
customhex66-2f90d0,#2f90d0,1
customhex67-4e42f4,#4e42f4,1
customhex68-003366,#003366,1
customhex70-00d494,#00d494,1
customhex71-ff0080,#ff0080,1
customhex72-30ba8f,#30ba8f,1
customhex73-ffe4e1,#ffe4e1,1
customhex74-f4f442,#f4f442,1
customhex75-69f420,#69f420,1
customhex76-6a0136,#6a0136,1
customhex77-d6edf9,#d6edf9,1
customhex78-006600,#006600,1
customhex79-ff6213,#ff6213,1
customhex80-9bddff,#9bddff,1
customhex81-16218d,#16218d,1
customhex83-ff2400,#ff2400,1
customhex84-006660,#006660,1
customhex85-89bab5,#89bab5,1
customhex86-20eaaa,#20eaaa,1
customhex87-5f0fff,#5f0fff,1
customhex88-99ccff,#99ccff,1
customhex89-b00b69,#b00b69,1
customhex90-ff8300,#ff8300,1
customhex91-00ffa6,#00ffa6,1
customhex92-009e60,#009e60,1
customhex93-000080,#000080,1
customhex94-beeeef,#beeeef,1
customhex95-976bad,#976bad,1
customhex96-3300bb,#3300bb,1
customhex97-aa220d,#aa220d,1
customhex98-6400de,#6400de,1
customhex99-3bb9ff,#3bb9ff,1
customhex100-1e90ff,#1e90ff,1
customhex101-99f281,#99f281,1
customhex102-047b0a,#047b0a,1
customhex103-ffbf52,#ffbf52,1
customhex104-5238b4,#5238b4,1
customhex105-2eb8b8,#2eb8b8,1
customhex106-babaca,#babaca,1
customhex107-663399,#663399,1
customhex108-0abdff,#0abdff,1
customhex109-631fa3,#631fa3,1
customhex110-414141,#414141,1
customhex112-ff7700,#ff7700,1
customhex113-bc7529,#bc7529,1
customhex114-7f1a1b,#7f1a1b,1
customhex115-00ffea,#00ffea,1
customhex116-f39200,#f39200,1
customhex117-461fc1,#461fc1,1
customhex118-00421f,#00421f,1
customhex119-2ecbff,#2ecbff,1
customhexT2-2-bc03ff,#bc03ff,1
customhexT2-3-21b6a8,#21b6a8,1
customhexT2-4-6a6f93,#6a6f93,1
customhexT2-5-0ab4e6,#0ab4e6,1
